"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2023","115.50","114.89","115.83","114.22","65.66M","1.85%"
"05/16/2023","113.40","111.05","114.79","111.05","71.47M","1.98%"
"05/15/2023","111.20","111.15","112.29","109.25","52.75M","0.85%"
"05/12/2023","110.26","112.16","112.64","109.32","49.85M","-1.71%"
"05/11/2023","112.18","111.03","113.28","110.49","74.93M","1.81%"
"05/10/2023","110.19","108.10","110.67","108.05","78.63M","3.35%"
"05/09/2023","106.62","105.48","106.79","105.16","44.09M","0.75%"
"05/08/2023","105.83","105.04","106.10","104.70","49.43M","0.17%"
"05/05/2023","105.65","104.27","105.76","103.55","56.95M","1.59%"
"05/04/2023","104.00","104.04","105.39","103.31","44.70M","0.34%"
"05/03/2023","103.65","103.74","105.96","103.28","64.63M","0.02%"
"05/02/2023","103.63","101.47","103.90","101.15","73.47M","1.55%"
"05/01/2023","102.05","104.95","105.23","101.82","73.18M","-3.22%"
"04/28/2023","105.45","107.73","109.48","104.33","130.72M","-3.98%"
"04/27/2023","109.82","108.16","110.86","106.80","129.44M","4.61%"
"04/26/2023","104.98","105.04","106.62","104.10","71.82M","2.35%"
"04/25/2023","102.57","104.91","105.45","102.45","61.69M","-3.43%"
"04/24/2023","106.21","107.65","109.23","105.07","68.61M","-0.70%"
"04/21/2023","106.96","106.10","108.15","105.08","86.77M","3.03%"
"04/20/2023","103.81","103.53","105.25","103.21","57.70M","-0.47%"
"04/19/2023","104.30","101.58","105.12","101.39","58.15M","1.96%"
"04/18/2023","102.30","103.95","104.20","101.52","39.41M","-0.43%"
"04/17/2023","102.74","103.16","103.73","101.59","39.92M","0.22%"
"04/14/2023","102.51","102.07","103.20","101.11","51.45M","0.11%"
"04/13/2023","102.40","98.95","102.57","98.71","67.36M","4.67%"
"04/12/2023","97.83","100.40","100.51","97.71","56.35M","-2.09%"
"04/11/2023","99.92","100.80","101.00","99.01","60.12M","-2.20%"
"04/10/2023","102.17","100.96","102.20","99.57","37.00M","0.11%"
"04/06/2023","102.06","100.75","102.38","99.80","43.81M","0.95%"
"04/05/2023","101.10","103.91","103.91","100.75","44.76M","-2.74%"
"04/04/2023","103.95","102.75","104.20","102.11","48.36M","1.50%"
"04/03/2023","102.41","102.30","103.29","101.43","40.90M","-0.85%"
"03/31/2023","103.29","102.16","103.49","101.95","56.75M","1.26%"
"03/30/2023","102.00","101.55","103.04","101.01","52.07M","1.75%"
"03/29/2023","100.25","98.69","100.42","98.56","49.78M","3.10%"
"03/28/2023","97.24","98.11","98.44","96.29","38.56M","-0.82%"
"03/27/2023","98.04","99.07","99.34","97.08","46.50M","-0.09%"
"03/24/2023","98.13","98.07","98.30","96.40","56.15M","-0.59%"
"03/23/2023","98.71","100.43","101.06","97.62","57.32M","0.01%"
"03/22/2023","98.70","100.45","102.10","98.61","57.09M","-1.90%"
"03/21/2023","100.61","98.14","100.85","98.00","57.86M","2.97%"
"03/20/2023","97.71","98.41","98.48","95.70","60.96M","-1.25%"
"03/17/2023","98.95","99.79","100.66","97.46","87.30M","-1.09%"
"03/16/2023","100.04","95.75","100.99","95.61","84.25M","3.99%"
"03/15/2023","96.20","93.22","96.67","93.07","69.74M","1.39%"
"03/14/2023","94.88","93.83","95.07","92.71","60.43M","2.65%"
"03/13/2023","92.43","89.97","94.02","88.12","72.40M","1.87%"
